sharp_metric,faith_metric,method,sharpness,faithfulness,dominated_by,on_frontier
gini,RandomLogit,Saliency,0.4616459310054779,0.338,"['DeepLift', 'MarginPullback']",False
gini,RandomLogit,Gradient,0.4616459310054779,-0.026,[],True
gini,RandomLogit,DistributionPullback,0.4559704661369324,-0.059,[],True
gini,RandomLogit,SoftPullback,0.45538753271102905,-0.018,"['DistributionPullback', 'Gradient']",False
gini,RandomLogit,DoublePullback,0.4487224817276001,0.006,"['DistributionPullback', 'Gradient', 'SoftPullback']",False
gini,RandomLogit,MarginAscent,0.42662233114242554,0.022,"['DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'SoftPullback']",False
gini,RandomLogit,PullbackAscent,0.4216865003108978,0.011,"['DistributionPullback', 'DoublePullback', 'Gradient', 'SoftPullback']",False
spatial_entropy,FaithfulnessCorrelation,GuidedGradCam,0.8466022610664368,0.009,[],True
spatial_entropy,FaithfulnessCorrelation,DeepLift,0.9401608109474182,-0.006,['GuidedGradCam'],False
spatial_entropy,FaithfulnessCorrelation,Deconvolution,0.9628099203109741,-0.004,['GuidedGradCam'],False
spatial_entropy,FaithfulnessCorrelation,MarginPullback,0.9632714986801147,0.058,[],True
spatial_entropy,FaithfulnessCorrelation,Gradient,0.9649373292922974,0.014,['MarginPullback'],False
spatial_entropy,FaithfulnessCorrelation,Saliency,0.9649373292922974,0.01,['MarginPullback'],False
spatial_entropy,FaithfulnessCorrelation,DistributionPullback,0.9657719135284424,0.073,[],True
spatial_entropy,FaithfulnessCorrelation,SoftPullback,0.9658064842224121,0.072,['DistributionPullback'],False
spatial_entropy,FaithfulnessCorrelation,DoublePullback,0.9667124152183533,0.053,"['DistributionPullback', 'MarginPullback', 'SoftPullback']",False
spatial_entropy,FaithfulnessCorrelation,MarginAscent,0.9710930585861206,0.038,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
spatial_entropy,FaithfulnessCorrelation,PullbackAscent,0.9718440771102905,0.045,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
spatial_entropy,MonotonicityCorrelation,GuidedGradCam,0.8466022610664368,0.402,[],True
spatial_entropy,MonotonicityCorrelation,DeepLift,0.9401608109474182,0.305,['GuidedGradCam'],False
spatial_entropy,MonotonicityCorrelation,Deconvolution,0.9628099203109741,0.216,"['DeepLift', 'GuidedGradCam']",False
spatial_entropy,MonotonicityCorrelation,MarginPullback,0.9632714986801147,0.226,"['DeepLift', 'GuidedGradCam']",False
spatial_entropy,MonotonicityCorrelation,Gradient,0.9649373292922974,0.157,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
spatial_entropy,MonotonicityCorrelation,Saliency,0.9649373292922974,0.157,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
spatial_entropy,MonotonicityCorrelation,DistributionPullback,0.9657719135284424,0.208,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
spatial_entropy,MonotonicityCorrelation,SoftPullback,0.9658064842224121,0.208,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
spatial_entropy,MonotonicityCorrelation,DoublePullback,0.9667124152183533,0.207,"['Deconvolution', 'DeepLift', 'DistributionPullback', 'GuidedGradCam', 'MarginPullback', 'SoftPullback']",False
spatial_entropy,MonotonicityCorrelation,MarginAscent,0.9710930585861206,0.228,"['DeepLift', 'GuidedGradCam']",False
spatial_entropy,MonotonicityCorrelation,PullbackAscent,0.9718440771102905,0.234,"['DeepLift', 'GuidedGradCam']",False
spatial_entropy,FaithfulnessEstimate,GuidedGradCam,0.8466022610664368,0.072,[],True
spatial_entropy,FaithfulnessEstimate,DeepLift,0.9401608109474182,-0.152,['GuidedGradCam'],False
spatial_entropy,FaithfulnessEstimate,Deconvolution,0.9628099203109741,0.173,[],True
spatial_entropy,FaithfulnessEstimate,MarginPullback,0.9632714986801147,0.557,[],True
